Name	Trim Slug	Family	Name	Variation 1	Variation 2	Variation 3	Variation 4	Variation 5	Variation 6
Alapin Sicilian Defense	Alapin-Sicilian-Defense	Alapin Sicilian Defense	Alapin Sicilian Defense						
Alapin Sicilian Defense: Barmen, Central Exchange, Endgame Variation	Alapin-Sicilian-Defense-Barmen-Central-Exchange-Endgame-Variation	Alapin Sicilian Defense	Alapin Sicilian Defense	Barmen Defense	Central Exchange Line	Endgame Variation			
Alapin Sicilian Defense: Barmen, Central Exchange Line	Alapin-Sicilian-Defense-Barmen-Central-Exchange-Line	Alapin Sicilian Defense	Alapin Sicilian Defense	Barmen Defense	Central Exchange Line				
Alapin Sicilian Defense: Barmen Defense	Alapin-Sicilian-Defense-Barmen-Defense	Alapin Sicilian Defense	Alapin Sicilian Defense	Barmen Defense					
Alapin Sicilian Defense: Barmen, Milner-Barry Attack	Alapin-Sicilian-Defense-Barmen-Milner-Barry-Attack	Alapin Sicilian Defense	Alapin Sicilian Defense	Barmen Defense	Milner-Barry Attack				
Alapin Sicilian Defense: Barmen, Modern Line	Alapin-Sicilian-Defense-Barmen-Modern-Line	Alapin Sicilian Defense	Alapin Sicilian Defense	Barmen Defense	Modern Line				
Alapin Sicilian Defense: Heidenfeld Variation	Alapin-Sicilian-Defense-Heidenfeld-Variation	Alapin Sicilian Defense	Alapin Sicilian Defense	Heidenfeld Variation					
Alapin Sicilian Defense: Sherzer Variation	Alapin-Sicilian-Defense-Sherzer-Variation	Alapin Sicilian Defense	Alapin Sicilian Defense	Sherzer Variation					
Alapin Sicilian Defense: Stoltz Attack	Alapin-Sicilian-Defense-Stoltz-Attack	Alapin Sicilian Defense	Alapin Sicilian Defense	Stoltz Attack					
Alapin Sicilian Defense: Stoltz, Ivanchuk Line	Alapin-Sicilian-Defense-Stoltz-Ivanchuk-Line	Alapin Sicilian Defense	Alapin Sicilian Defense	Stoltz Attack	Ivanchuk Line				
Alekhine's Defense	Alekhines-Defense	Alekhine's Defense	Alekhine's Defense						
Alekhine's Defense: Balogh Variation	Alekhines-Defense-Balogh-Variation	Alekhine's Defense	Alekhine's Defense	Balogh Variation					
Alekhine's Defense: Brooklyn, Everglades Variation	Alekhines-Defense-Brooklyn-Everglades-Variation	Alekhine's Defense	Alekhine's Defense	Brooklyn Variation	Everglades Variation				
Alekhine's Defense: Brooklyn Variation	Alekhines-Defense-Brooklyn-Variation	Alekhine's Defense	Alekhine's Defense	Brooklyn Variation					
Alekhine's Defense: Buckley Attack	Alekhines-Defense-Buckley-Attack	Alekhine's Defense	Alekhine's Defense	Buckley Attack					
Alekhine's Defense: Buntin Gambit	Alekhines-Defense-Buntin-Gambit	Alekhine's Defense	Alekhine's Defense	Buntin Gambit					
